"SYMBOL  
","QUOTATION VALUE 
","UPDATED DATE 
","SESSION 1 * SPOT PRICE (IN RS.) 
","SESSION 2 * SPOT PRICE (IN RS.) 
","POLLED INFORMATION 
"
"GOLDM","10 Grams","22-MAY-2026","1,57,727.00","1,57,628.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22052026_2.xlsx"
"GOLDM","10 Grams","21-MAY-2026","1,58,254.00","1,58,133.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21052026_2.xlsx"
"GOLDM","10 Grams","20-MAY-2026","1,57,307.00","1,57,882.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20052026_2.xlsx"
"GOLDM","10 Grams","19-MAY-2026","1,58,257.00","1,58,309.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_19052026_2.xlsx"
"GOLDM","10 Grams","18-MAY-2026","1,57,289.00","1,57,162.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_18052026_2.xlsx"
"GOLDM","10 Grams","15-MAY-2026","1,57,676.00","1,57,397.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15052026_2.xlsx"
"GOLDM","10 Grams","14-MAY-2026","1,60,708.00","1,60,315.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_14052026_2.xlsx"
"GOLDM","10 Grams","13-MAY-2026","1,59,723.00","1,60,279.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13052026_2.xlsx"
"GOLDM","10 Grams","12-MAY-2026","1,51,175.00","1,51,301.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_12052026_2.xlsx"
"GOLDM","10 Grams","11-MAY-2026","1,49,942.00","1,49,786.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_11052026_2.xlsx"
"GOLDM","10 Grams","08-MAY-2026","1,50,540.00","1,50,430.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08052026_2.xlsx"
"GOLDM","10 Grams","07-MAY-2026","1,50,765.00","1,50,570.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07052026_2.xlsx"
"GOLDM","10 Grams","06-MAY-2026","1,49,962.00","1,50,235.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06052026_2.xlsx"
"GOLDM","10 Grams","05-MAY-2026","1,46,946.00","1,47,127.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_05052026_2.xlsx"
"GOLDM","10 Grams","04-MAY-2026","1,47,815.00","1,47,140.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_04052026_2.xlsx"
"GOLDM","10 Grams","30-APR-2026","1,48,465.00","1,49,671.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30042026_2.xlsx"
"GOLDM","10 Grams","29-APR-2026","1,48,107.00","1,47,647.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_29042026_2.xlsx"
"GOLDM","10 Grams","28-APR-2026","1,49,136.00","1,48,588.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_28042026_2.xlsx"
"GOLDM","10 Grams","27-APR-2026","1,50,909.00","1,50,736.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27042026_2.xlsx"
"GOLDM","10 Grams","24-APR-2026","1,49,997.00","1,50,224.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_24042026_2.xlsx"
"GOLDM","10 Grams","23-APR-2026","1,50,618.00","1,50,191.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_23042026_2.xlsx"
"GOLDM","10 Grams","22-APR-2026","1,51,709.00","1,51,403.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_22042026_2.xlsx"
"GOLDM","10 Grams","21-APR-2026","1,51,545.00","1,51,745.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_21042026_2.xlsx"
"GOLDM","10 Grams","20-APR-2026","1,51,419.00","1,51,593.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_20042026_2.xlsx"
"GOLDM","10 Grams","17-APR-2026","1,50,737.00","1,51,194.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_17042026_2.xlsx"
"GOLDM","10 Grams","16-APR-2026","1,52,572.00","1,52,288.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_16042026_2.xlsx"
"GOLDM","10 Grams","15-APR-2026","1,52,415.00","1,52,013.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_15042026_2.xlsx"
"GOLDM","10 Grams","13-APR-2026","1,49,507.00","1,49,294.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_13042026_2.xlsx"
"GOLDM","10 Grams","10-APR-2026","1,49,577.00","1,49,460.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_10042026_2.xlsx"
"GOLDM","10 Grams","09-APR-2026","1,48,746.00","1,49,220.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_09042026_2.xlsx"
"GOLDM","10 Grams","08-APR-2026","1,51,572.00","1,50,242.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_08042026_2.xlsx"
"GOLDM","10 Grams","07-APR-2026","1,47,064.00","1,47,543.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_07042026_2.xlsx"
"GOLDM","10 Grams","06-APR-2026","1,47,600.00","1,48,136.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_06042026_2.xlsx"
"GOLDM","10 Grams","02-APR-2026","1,45,321.00","1,45,868.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_02042026_2.xlsx"
"GOLDM","10 Grams","01-APR-2026","1,49,311.00","1,49,528.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_01042026_2.xlsx"
"GOLDM","10 Grams","30-MAR-2026","1,45,745.00","1,46,361.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_30032026_2.xlsx"
"GOLDM","10 Grams","27-MAR-2026","1,43,665.00","1,42,633.00","https://nsearchives.nseindia.com/archives/com/spot/Participantfiles_27032026_2.xlsx"
